system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,VV,VH,HH,HV,Blue,Green,Red,NIR,SWIR1,SWIR2,elevation,slope,aspect,CFFDRS,Row,Col,PointX,PointY,random,longitude,latitude,NDVI,NBR,NDWI1,NDWI2,Tcbrightness,TCGreeness,TCWetness,SR,NPDI
00000000000000007ada_0,-0.03254133,-0.041584006,-0.015747789,-0.318892734,0.004982699,-0.135886198,-0.098423683,0.135886198,0.141730104,-0.041584006,0.008858131,0.066989619,-0.206935794,0.03254133,-0.236462899,0.172795079,0.130165321,-0.135886198,-0.015747789,0.055363322,0.192910419,0.029773164,0.035432526,-0.179377163,-0.14769704,0.267958478,0.027128028,-0.093564014,0.259900038,-0.135886198,0.093564014,-0.01384083,0.055363322,-0.124567474,-0.14769704,0.153787005,0.236462899,0.088827374,-0.017777778,0.051733948,-0.041584006,0.015747789,-0.267958478,0.01384083,0.038446751,0.059115725,0.066989619,-0.172795079,0.055363322,-0.113740869,0.14769704,-0.084213764,-0.066989619,-0.019930796,0.008858131,0.084213764,0.010396002,-0.141730104,0.048227605,-0.088827374,-0.16,0.103406382,0.00615148,0.124567474,-12.61267714,-24.89286776,3505,2073,0.0621,0.0795,0.1045,0.2127,0.25315,0.1678,86.534546,1.5605054,332.0423,425,33378,57079,-462660,1382370,0.612680489,-162.9256015,62.13642329,0.34110971,0.118002628,-0.086830525,-0.455852156,0.36933339,0.05126868,-0.12499103,1.973638704,-0.327423336
00000000000000003f67_0,-0.124567474,0.008858131,-0.029773164,-0.30142253,0.051733948,-0.16,-0.103406382,0.192910419,0.179377163,-0.066989619,0.015747789,-0.029773164,-0.228896578,0.00615148,-0.206935794,0.153787005,0.153787005,-0.093564014,-0.012056901,0.044844291,0.186082276,0.059115725,0.084213764,-0.214133026,-0.103406382,0.284444444,0.008858131,-0.079723183,0.244152249,-0.071111111,0.079723183,-0.079723183,-0.055363322,-0.153787005,-0.098423683,0.186082276,0.236462899,0.059115725,-0.029773164,0.079723183,0.079723183,0.055363322,-0.259900038,-0.015747789,0.051733948,0.124567474,0.059115725,-0.206935794,0.041584006,-0.066989619,0.135886198,-0.088827374,-0.051733948,-0.024605921,0.010396002,0.084213764,-0.084213764,-0.041584006,0.035432526,-0.024605921,-0.16,0.062991157,-0.027128028,0.027128028,-13.08492366,-21.80405266,5732,2078,0.03635,0.06605,0.0642,0.2943,0.25395,0.1333,273.8989,1.1521269,57.31941,32,29168,59906,-377850,1508670,0.217388213,-161.581632,63.35175403,0.641841004,0.376520112,0.073597811,-0.633411961,0.37819505,0.149164515,-0.10174736,1.666349245,-0.249910714
000000000000000047de_0,-0.03254133,-0.084213764,0.003014225,-0.221453287,0.017777778,-0.206935794,-0.084213764,0.103406382,0.16,0.027128028,-0.062991157,0.124567474,-0.199861592,0.079723183,-0.221453287,0.14769704,0.153787005,-0.166336025,-0.059115725,0.055363322,0.14769704,0.103406382,0.015747789,-0.192910419,-0.179377163,0.236462899,0.00615148,-0.103406382,0.135886198,-0.079723183,-0.015747789,0.029773164,-0.019930796,-0.192910419,-0.153787005,0.093564014,0.267958478,0.108512111,-0.084213764,0.048227605,0.055363322,0.124567474,-0.276139946,-0.035432526,0.012056901,0.084213764,0.153787005,-0.310096117,0.059115725,-0.14769704,0.059115725,-0.035432526,0.000554,-0.01384083,0.059115725,0.079723183,-0.066989619,-0.108512111,0.027128028,-0.048227605,-0.027128028,0.088827374,0.062991157,0.075355632,-14.46019068,-22.84477948,3756,2081,0.0552,0.0854,0.0692,0.3747,0.2415,0.1152,160.50041,1.0482583,67.462845,33,44479,64413,-242640,1049340,0.192527324,-158.2857133,59.3670071,0.688218067,0.529699939,0.216163583,-0.628776353,0.42690003,0.19681223,-0.04893164,1.579839435,-0.224757955
0000000000000000121e_0,-0.066989619,-0.251964629,0.124567474,-0.206935794,-0.059115725,-0.135886198,-0.066989619,0.32781238,0.172795079,-0.019930796,0.214133026,0.041584006,-0.019930796,-0.075355632,-0.084213764,-0.093564014,0.166336025,0.012056901,0.055363322,-0.199861592,0.153787005,-0.044844291,0.027128028,-0.153787005,0.035432526,0.251964629,-0.119092657,0.062991157,0.172795079,-0.075355632,0.01384083,-0.066989619,0.141730104,0.079723183,-0.103406382,-0.022206844,0.206935794,0.044844291,-0.071111111,0.071111111,-0.084213764,-0.059115725,-0.172795079,0.135886198,-0.071111111,0.084213764,-0.044844291,-0.119092657,0.075355632,-0.015747789,0.044844291,0.038446751,0.012056901,0.048227605,0.084213764,0.267958478,0.027128028,-0.079723183,-0.055363322,0.03254133,-0.186082276,0.206935794,0.186082276,0.084213764,-11.25070615,-19.25965144,4093,2083,0.03055,0.0463,0.033,0.22545,0.1439,0.07405,632.12085,16.328398,268.7152,3,31510,81695,275820,1438410,0.865138957,-148.569625,62.81528015,0.744631457,0.505509182,0.220793286,-0.65924563,0.250700845,0.124138545,-0.034843385,1.711861565,-0.262499227
00000000000000005ee7_0,-0.044844291,-0.071111111,-0.041584006,-0.310096117,-0.024605921,-0.186082276,-0.093564014,0.172795079,0.093564014,-0.024605921,-0.012056901,0.027128028,-0.192910419,0.01384083,-0.251964629,0.16,0.071111111,-0.172795079,-0.041584006,0.059115725,0.135886198,0.093564014,-0.041584006,-0.153787005,-0.108512111,0.251964629,0.019930796,-0.041584006,0.244152249,-0.199861592,0.051733948,-0.017777778,-0.066989619,-0.098423683,-0.16,0.192910419,0.276139946,0.055363322,-0.044844291,0.048227605,-0.035432526,0.017777778,-0.284444444,0.062991157,0.066989619,0.119092657,0.098423683,-0.153787005,0.066989619,-0.075355632,0.088827374,-0.019930796,-0.035432526,-0.062991157,-0.048227605,0.103406382,0.062991157,-0.119092657,-0.000246,-0.055363322,-0.141730104,0.075355632,0.000984,0.166336025,-12.33467017,-22.15027711,4139,2084,0.0235,0.0442,0.0295,0.21,0.0926,0.0459,8.478704,0.25806573,93.68531,60,34244,56421,-482400,1356390,0.408771297,-163.2323762,61.88220006,0.753653445,0.64126612,0.387970919,-0.652242329,0.20636935,0.1181277,0.00662326,1.795773767,-0.284634535
00000000000000003dd5_0,-0.038446751,-0.130165321,0.119092657,-0.276139946,-0.055363322,-0.135886198,-0.124567474,0.236462899,0.071111111,-0.066989619,0.192910419,-0.012056901,-0.108512111,-0.084213764,-0.108512111,0.003014225,0.113740869,-0.062991157,0.051733948,-0.079723183,0.179377163,-0.071111111,0.075355632,-0.153787005,-0.015747789,0.30142253,-0.038446751,-0.01384083,0.292871972,-0.108512111,0.048227605,-0.059115725,0.059115725,-0.01384083,-0.119092657,0.221453287,0.244152249,-0.029773164,-0.041584006,0.048227605,-0.062991157,-0.108512111,-0.228896578,0.153787005,0.051733948,0.119092657,0.038446751,-0.172795079,0.093564014,-0.079723183,0.124567474,-0.035432526,0.008858131,-0.007443291,-0.019930796,0.214133026,0.038446751,-0.019930796,-0.041584006,-0.029773164,-0.199861592,0.186082276,0.059115725,0.002214533,-11.78623994,-18.79158251,4885,2089,0.0425,0.0684,0.0567,0.2404,0.2002,0.1097,172.76936,0.20320167,22.890863,31,25867,80860,250770,1607700,0.215869484,-148.8003123,64.3440331,0.618310333,0.373321908,0.091239219,-0.556994819,0.31534633,0.111611,-0.07215634,1.594366194,-0.229098805
0000000000000000619e_0,-0.113740869,-0.071111111,0.029773164,-0.141730104,-0.004982699,-0.244152249,-0.051733948,0.267958478,0.214133026,-0.024605921,0.108512111,0.066989619,-0.119092657,-0.038446751,-0.276139946,0.141730104,0.166336025,-0.130165321,-0.153787005,-0.029773164,0.153787005,0.008858131,0.027128028,-0.16,-0.022206844,0.32781238,-0.062991157,0.108512111,0.172795079,-0.172795079,0.029773164,-0.015747789,0.01384083,-0.062991157,-0.075355632,0.029773164,0.186082276,0.035432526,-0.141730104,-0.003014225,0.01384083,-0.015747789,-0.206935794,0.075355632,-0.010396002,0.048227605,0.093564014,-0.259900038,0.051733948,-0.062991157,0.003936947,0.044844291,-0.041584006,0.008858131,0.038446751,0.192910419,0.135886198,-0.124567474,-0.015747789,-0.066989619,-0.166336025,0.093564014,0.048227605,0.166336025,-11.44321347,-19.10978364,5478,2090,0.04865,0.0744,0.0551,0.4218,0.24095,0.1278,171.29883,7.4011073,280.24182,60,32672,57580,-447630,1403550,0.168705866,-162.6922192,62.34195782,0.768924303,0.534934498,0.272878159,-0.700120919,0.443524085,0.24082126,-0.046041025,1.669966543,-0.250926943
00000000000000000462_0,0.010396002,-0.119092657,0.103406382,-0.30142253,-0.055363322,-0.153787005,-0.103406382,0.221453287,0.075355632,-0.071111111,0.135886198,0.027128028,-0.135886198,-0.048227605,-0.14769704,0.029773164,0.098423683,-0.093564014,0.066989619,-0.00615148,0.221453287,-0.044844291,0.048227605,-0.172795079,-0.048227605,0.251964629,-0.012056901,-0.027128028,0.30142253,-0.098423683,0.041584006,0.007443291,0.029773164,-0.01384083,-0.172795079,0.221453287,0.259900038,0.022206844,-0.024605921,0.035432526,-0.098423683,-0.088827374,-0.244152249,0.141730104,0.044844291,0.093564014,0.017777778,-0.166336025,0.066989619,-0.079723183,0.135886198,-0.051733948,-0.01384083,-0.066989619,-0.048227605,0.199861592,0.017777778,-0.041584006,-0.03254133,-0.019930796,-0.192910419,0.186082276,0.041584006,0.055363322,-11.96086447,-19.7852212,5916,2091,0.03,0.0531,0.0521,0.2454,0.1656,0.0894,63.534084,0.28403887,194.55856,1,22425,69036,-103950,1710960,0.253045623,-156.2310865,65.34233087,0.649747899,0.465949821,0.194160584,-0.644221106,0.2865219,0.12576621,-0.04297794,1.654163146,-0.246466818
00000000000000000693_0,0.010396002,-0.130165321,0.041584006,-0.221453287,-0.044844291,-0.153787005,-0.103406382,0.221453287,0.124567474,-0.055363322,0.192910419,0.075355632,-0.130165321,-0.062991157,-0.199861592,0.01384083,0.088827374,-0.075355632,0.008858131,-0.007443291,0.199861592,-0.038446751,0.044844291,-0.14769704,-0.010396002,0.276139946,-0.066989619,0.071111111,0.292871972,-0.135886198,0.071111111,-0.024605921,0.041584006,0.004982699,-0.153787005,0.153787005,0.276139946,-0.019930796,-0.017777778,0.055363322,-0.113740869,-0.113740869,-0.179377163,0.153787005,0.027128028,0.084213764,0.024605921,-0.214133026,0.071111111,-0.029773164,0.108512111,-0.062991157,-0.051733948,-0.119092657,0.00615148,0.192910419,0.088827374,-0.041584006,-0.048227605,-0.062991157,-0.221453287,0.141730104,0.124567474,0.098423683,-10.95681612,-18.59677988,5207,2098,0.027,0.04425,0.0274,0.2118,0.14215,0.07125,113.00636,0.42205745,233.4035,1,20623,67209,-158760,1765020,0.313726637,-157.4661802,65.80622089,0.77090301,0.496555379,0.196779206,-0.654364382,0.23735955,0.119163225,-0.039744215,1.697279545,-0.258512154
00000000000000008294_0,-0.044844291,-0.172795079,0.071111111,-0.310096117,-0.029773164,-0.135886198,-0.14769704,0.244152249,0.075355632,-0.059115725,0.259900038,-0.048227605,-0.098423683,-0.098423683,-0.124567474,0.044844291,0.124567474,-0.044844291,0.03254133,-0.059115725,0.135886198,-0.041584006,0.055363322,-0.153787005,0.015747789,0.251964629,0.004982699,0.035432526,0.346020761,-0.119092657,0.066989619,-0.035432526,-0.015747789,0.015747789,-0.119092657,0.228896578,0.119092657,-0.055363322,0.01384083,0.062991157,-0.029773164,-0.135886198,-0.199861592,0.153787005,0.044844291,0.130165321,0.048227605,-0.166336025,0.029773164,-0.062991157,0.14769704,-0.059115725,-0.017777778,0.004982699,-0.055363322,0.186082276,6.15E-05,-0.022206844,-0.004982699,-0.03254133,-0.206935794,0.199861592,0.055363322,-0.008858131,-12.4609292,-20.24147262,7421,2098,0.0325,0.0517,0.0432,0.2095,0.2004,0.127,366.07098,0.9586862,349.4152,605,26754,87368,446010,1581090,0.414732865,-144.8676677,63.91850115,0.6580926,0.245170877,0.022200537,-0.604134763,0.28730895,0.10038598,-0.09996324,1.624395123,-0.237919632
